,메뉴,가격
146,마파두부 덮밥,"5,000"
147,왕카레돈까스덮밥,"6,100"
148,새우돈까스 덮밥,"4,400"
149,돈까스 덮밥,"4,300"
150,아보카도 소불고기 명란 비빔밥,"6,700"
151,소불고기 감초고추장 비빔밥,"5,600"
152,시골제육 두부강된장 비빔밥,"5,400"
153,참치야채 감초고추장 비빔밥,"3,700"
154,튼튼도시락,"5,200"
155,빅새치마요,"4,700"
156,새치마요,"4,100"
157,메가스팸마요,"5,900"
158,스팸마요,"4,000"
159,메가치킨마요,"6,200"
160,왕치킨마요,"5,100"
161,빅치킨마요,"4,400"
162,치킨마요,"3,800"
163,참치마요,"3,600"
164,돈치마요,"4,100"
165,돈까스 카레,"4,800"
166,잡채볶음밥(중화풍 매운맛),"5,500"
167,잡채볶음밥(오리지널),"5,300"
168,스팸 김치볶음밥,"4,900"
169,김치볶음밥,"4,100"
170,스팸 철판볶음밥,"4,900"
171,소불고기 철판볶음밥,"5,100"
172,나시고랭,"6,300"
173,묵은지 김치찌개,"5,000"
174,김치 부대찌개,"6,100"
175,핫 치즈 닭갈비덮밥,"6,000"
176,오리지널 치즈 닭갈비덮밥,"6,000"
